date,statarb
2023-08-16,2.183632786
2023-08-17,2.193742888
2023-08-18,2.223492709
2023-08-19,2.232877636
2023-08-20,2.232771351
2023-08-21,2.23456821
2023-08-22,2.248569675
2023-08-23,2.247903041
2023-08-24,2.236733283
2023-08-25,2.25107472
2023-08-26,2.234362044
2023-08-27,2.210584182
2023-08-28,2.18544376
2023-08-29,2.154866163
2023-08-30,2.13971973
2023-08-31,2.149167769
2023-09-01,2.078569925
2023-09-02,2.041331663
2023-09-03,2.064952177
2023-09-04,2.065737416
2023-09-05,2.078915978
2023-09-06,2.055691693
2023-09-07,2.07022968
2023-09-08,2.069093323
2023-09-09,2.08393934
2023-09-10,2.07792099
2023-09-11,2.065978463
2023-09-12,2.085546556
2023-09-13,2.060541679
2023-09-14,2.053476728
2023-09-15,2.029144594
2023-09-16,2.015277903
2023-09-17,2.014451103
2023-09-18,2.053054678
2023-09-19,2.064341551
2023-09-20,2.063960061
2023-09-21,2.092369877
2023-09-22,2.102088169
2023-09-23,2.104996921
2023-09-24,2.105906595
2023-09-25,2.103861533
2023-09-26,2.089421334
2023-09-27,2.116749991
2023-09-28,2.122707495
2023-09-29,2.120545997
2023-09-30,2.130607556
2023-10-01,2.132248767
2023-10-02,2.156037955
2023-10-03,2.138112332
2023-10-04,2.149503254
2023-10-05,2.139605131
2023-10-06,2.142208388
2023-10-07,2.15978505
2023-10-08,2.163254606
2023-10-09,2.166929426
2023-10-10,2.206282065
2023-10-11,2.196212113
2023-10-12,2.205464236
2023-10-13,2.192819251
2023-10-14,2.197357041
2023-10-15,2.16779423
2023-10-16,2.203380441
2023-10-17,2.259658545
2023-10-18,2.248473208
2023-10-19,2.272232213
2023-10-20,2.336717858
2023-10-21,2.361173831
2023-10-22,2.410764611
2023-10-23,2.405369459
2023-10-24,2.433659885
2023-10-25,2.406797084
2023-10-26,2.377925565
2023-10-27,2.365197599
2023-10-28,2.396141939
2023-10-29,2.393695315
2023-10-30,2.371140735
2023-10-31,2.403712621
2023-11-01,2.374135702
2023-11-02,2.40793045
2023-11-03,2.505771402
2023-11-04,2.525271275
2023-11-05,2.480175591
2023-11-06,2.504916231
2023-11-07,2.547410567
2023-11-08,2.605410983
2023-11-09,2.610768276
2023-11-10,2.657037481
2023-11-11,2.740142796
2023-11-12,2.724085992
2023-11-13,2.688551707
2023-11-14,2.666419167
2023-11-15,2.686451921
2023-11-16,2.746124912
2023-11-17,2.694935046
2023-11-18,2.648042038
2023-11-19,2.675197556
2023-11-20,2.719099972
2023-11-21,2.715342632
2023-11-22,2.677780239
2023-11-23,2.712245364
2023-11-24,2.660762103
2023-11-25,2.622416514
2023-11-26,2.582984784
2023-11-27,2.566473653
2023-11-28,2.539972056
2023-11-29,2.631544363
2023-11-30,2.662202924
2023-12-01,2.648959955
2023-12-02,2.661353972
2023-12-03,2.669504773
2023-12-04,2.700219337
2023-12-05,2.736623289
2023-12-06,2.803259837
2023-12-07,2.842692452
2023-12-08,2.874580474
2023-12-09,2.932884296
2023-12-10,2.911013625
2023-12-11,2.840613858
2023-12-12,2.947990261
2023-12-13,2.914545116
2023-12-14,3.02411199
2023-12-15,2.915833055
2023-12-16,2.948788757
2023-12-17,2.93133083
2023-12-18,2.9384959
2023-12-19,2.974559396
2023-12-20,3.001426794
2023-12-21,3.048166819
2023-12-22,3.034029355
2023-12-23,3.060542099
2023-12-24,3.069769297
2023-12-25,3.171460734
2023-12-26,3.164317113
2023-12-27,3.200244428
2023-12-28,3.274921306
2023-12-29,3.277325099
2023-12-30,3.279730655
2023-12-31,3.282137977
2024-01-01,3.312898791
2024-01-02,3.289221733
2024-01-03,3.294798321
2024-01-04,3.401336741
2024-01-05,3.448119408
2024-01-06,3.476087271
2024-01-07,3.41841637
2024-01-08,3.543804148
2024-01-09,3.64751088
2024-01-10,3.707554338
2024-01-11,3.678759467
2024-01-12,3.666076208
2024-01-13,3.667164792
2024-01-14,3.677425883
2024-01-15,3.644581164
2024-01-16,3.610277088
2024-01-17,3.558784907
2024-01-18,3.542807346
2024-01-19,3.607391573
2024-01-20,3.649776481
2024-01-21,3.687144584
2024-01-22,3.696664846
2024-01-23,3.75894025
2024-01-24,3.800782631
2024-01-25,3.786950663
2024-01-26,3.771937698
2024-01-27,3.750904815
2024-01-28,3.746502817
2024-01-29,3.757289784
2024-01-30,3.770353305
2024-01-31,3.742192668
2024-02-01,3.698106331
2024-02-02,3.704577493
2024-02-03,3.721543431
2024-02-04,3.752651336
2024-02-05,3.749409434
2024-02-06,3.711892614
2024-02-07,3.726844037
2024-02-08,3.685416705
2024-02-09,3.664424964
2024-02-10,3.654657941
2024-02-11,3.664688922
2024-02-12,3.662645061
2024-02-13,3.739337446
2024-02-14,3.807300725
2024-02-15,3.951913984
2024-02-16,3.980466715
2024-02-17,3.998897702
2024-02-18,3.989499008
2024-02-19,4.037800065
2024-02-20,3.996506678
2024-02-21,4.094162279
2024-02-22,4.22604735
2024-02-23,4.184222685
2024-02-24,4.152231003
2024-02-25,4.171449508
2024-02-26,4.180303322
2024-02-27,4.190379712
2024-02-28,4.249627926
2024-02-29,4.251321476
2024-03-01,4.302529337
2024-03-02,4.337658379
2024-03-03,4.373368997
2024-03-04,4.470681854
2024-03-05,4.497280681
2024-03-06,4.498581794
2024-03-07,4.431327099
2024-03-08,4.391643144
2024-03-09,4.445693679
2024-03-10,4.388286898
2024-03-11,4.370511978
2024-03-12,4.440124074
2024-03-13,4.521513836
2024-03-14,4.632837348
2024-03-15,4.637300262
2024-03-16,4.697845175
2024-03-17,4.703917144
2024-03-18,4.651308002
2024-03-19,4.684421366
2024-03-20,4.648437853
2024-03-21,4.769119198
2024-03-22,4.783628229
2024-03-23,4.757655992
2024-03-24,4.741677054
2024-03-25,4.651455465
2024-03-26,4.708152838
2024-03-27,4.707109301
2024-03-28,4.714326807
2024-03-29,4.700076296
2024-03-30,4.773852606
2024-03-31,4.791648464
2024-04-01,4.798907901
2024-04-02,4.823720256
2024-04-03,4.866738985
2024-04-04,4.888467805
2024-04-05,4.883706725
2024-04-06,4.80186246
2024-04-07,4.899761619
2024-04-08,4.955934828
2024-04-09,4.957182477
2024-04-10,5.024182609
2024-04-11,4.997335988
2024-04-12,5.016660442
2024-04-13,5.124113586
2024-04-14,5.129261178
2024-04-15,5.262486569
2024-04-16,5.214178973
2024-04-17,5.196569174
2024-04-18,5.17332083
2024-04-19,5.144385327
2024-04-20,5.083527369
2024-04-21,5.00895003
2024-04-22,5.007078529
2024-04-23,5.074086924
2024-04-24,5.130703546
2024-04-25,5.197100598
2024-04-26,5.154713899
2024-04-27,5.186606499
2024-04-28,5.132312242
2024-04-29,5.177862163
2024-04-30,5.119194603
2024-05-01,5.132080097
2024-05-02,5.07161542
2024-05-03,5.025764412
2024-05-04,5.013618973
2024-05-05,4.96389911
2024-05-06,4.867732191
2024-05-07,4.865169146
2024-05-08,4.912656971
2024-05-09,5.024289876
2024-05-10,4.938857071
2024-05-11,4.937169883
2024-05-12,4.947154572
2024-05-13,4.975226949
2024-05-14,5.021944975
2024-05-15,5.002777456
2024-05-16,5.056756909
2024-05-17,5.005432868
2024-05-18,4.936692052
2024-05-19,4.942742473
2024-05-20,5.029020877
2024-05-21,5.171207357
2024-05-22,5.228157753
2024-05-23,5.35792821
2024-05-24,5.392089831
2024-05-25,5.384985857
2024-05-26,5.323002539
2024-05-27,5.349589546
2024-05-28,5.253934149
2024-05-29,5.266884213
2024-05-30,5.282060854
2024-05-31,5.260061196
2024-06-01,5.274459806
2024-06-02,5.348321252
2024-06-03,5.343735879
2024-06-04,5.280859365
2024-06-05,5.355942817
2024-06-06,5.371957413
2024-06-07,5.374006692
2024-06-08,5.495011198
2024-06-09,5.503988817
2024-06-10,5.475442343
2024-06-11,5.551273424
2024-06-12,5.612875525
2024-06-13,5.610538516
2024-06-14,5.58814023
2024-06-15,5.669210323
2024-06-16,5.696563343
2024-06-17,5.726330699
2024-06-18,5.866515948
2024-06-19,5.931205673
2024-06-20,5.848434518
2024-06-21,5.890977513
2024-06-22,5.807147794
2024-06-23,5.772957903
2024-06-24,5.806896342
2024-06-25,5.782126628
2024-06-26,5.759017724
2024-06-27,5.791514297
2024-06-28,5.794579717
2024-06-29,5.793774713
2024-06-30,5.744478785
2024-07-01,5.670582356
2024-07-02,5.736744666
2024-07-03,5.778559343
2024-07-04,5.789733317
2024-07-05,5.979713018
2024-07-06,5.955416677
2024-07-07,6.044100568
2024-07-08,6.082199237
2024-07-09,6.116171453
2024-07-10,6.028698655
2024-07-11,6.009444024
2024-07-12,6.117413973
2024-07-13,5.996573182
2024-07-14,6.011258853
2024-07-15,5.970786836
2024-07-16,6.016520704
2024-07-17,5.944281566
2024-07-18,5.872652978
2024-07-19,5.874361575
2024-07-20,5.75127897
2024-07-21,5.678999314
2024-07-22,5.776265096
2024-07-23,5.73778356
2024-07-24,5.815728396
2024-07-25,5.852520783
2024-07-26,5.866600201
2024-07-27,5.897671251
2024-07-28,5.8715308
2024-07-29,5.807860859
2024-07-30,5.821097838
2024-07-31,5.880973868
2024-08-01,5.891089214
2024-08-02,5.979108516
2024-08-03,5.952204811
2024-08-04,5.966859742
2024-08-05,6.056905982
2024-08-06,5.916345447
2024-08-07,5.928786433
2024-08-08,5.92512223
2024-08-09,6.032562181
2024-08-10,6.101266691
2024-08-11,6.012523356
2024-08-12,6.060668883
2024-08-13,6.128783865
2024-08-14,6.174674728
2024-08-15,6.122996027
2024-08-16,6.130392112
2024-08-17,6.132012141
2024-08-18,6.10154253
2024-08-19,6.087483655
2024-08-20,6.1606587
2024-08-21,6.196733914
2024-08-22,6.132713767
2024-08-23,6.046380841
2024-08-24,5.928658578
2024-08-25,5.989072695
2024-08-26,5.981617171
2024-08-27,6.030795124
2024-08-28,6.02442094
2024-08-29,6.001807749
2024-08-30,5.976545247
2024-08-31,5.938630374
2024-09-01,5.911949707
2024-09-02,5.884193815
2024-09-03,5.962689387
2024-09-04,5.969025487
2024-09-05,5.97841359
2024-09-06,5.96458048
2024-09-07,5.978380572
2024-09-08,5.938813377
2024-09-09,5.891522915
2024-09-10,5.886370674
2024-09-11,5.934939196
2024-09-12,6.041217823
2024-09-13,5.96933242
2024-09-14,5.940343607
2024-09-15,6.098851212
2024-09-16,6.155401564
2024-09-17,6.219587577
2024-09-18,6.370337321
2024-09-19,6.451343776
2024-09-20,6.383157179
2024-09-21,6.445905508
2024-09-22,6.449918042
2024-09-23,6.527823089
2024-09-24,6.473495034
2024-09-25,6.453779072
2024-09-26,6.431854445
2024-09-27,6.431789974
2024-09-28,6.489269258
2024-09-29,6.522246157
2024-09-30,6.530608421
2024-10-01,6.528417501
2024-10-02,6.640871652
2024-10-03,6.542135308
2024-10-04,6.442000089
2024-10-05,6.440974583
2024-10-06,6.422571772
2024-10-07,6.461525329
2024-10-08,6.531686758
2024-10-09,6.509594246
2024-10-10,6.503805557
2024-10-11,6.4179399
2024-10-12,6.424731904
2024-10-13,6.492967062
2024-10-14,6.512637365
2024-10-15,6.566943246
2024-10-16,6.4970671
2024-10-17,6.565934848
2024-10-18,6.437641527
2024-10-19,6.47337388
2024-10-20,6.353484533
2024-10-21,6.364746719
2024-10-22,6.422450779
2024-10-23,6.478033642
2024-10-24,6.599109397
2024-10-25,6.584065568
2024-10-26,6.68549125
2024-10-27,6.731894159
2024-10-28,6.705895058
2024-10-29,6.65537465
2024-10-30,6.645711949
2024-10-31,6.615788328
2024-11-01,6.640481961
2024-11-02,6.694292771
2024-11-03,6.743371786
2024-11-04,6.790568017
2024-11-05,6.791180072
2024-11-06,6.673910043
2024-11-07,6.686606097
2024-11-08,6.7810311
2024-11-09,6.697797275
2024-11-10,6.612534171
2024-11-11,6.662153937
2024-11-12,6.71830553
2024-11-13,6.727805275
2024-11-14,6.924413332
2024-11-15,6.908429756
2024-11-16,7.094332051
2024-11-17,7.164844299
2024-11-18,7.247808174
2024-11-19,7.108088936
2024-11-20,7.155019607
2024-11-21,7.265021366
2024-11-22,7.142682638
2024-11-23,7.234740933
2024-11-24,7.11298846
2024-11-25,7.059952846
2024-11-26,7.081538132
2024-11-27,7.128334769
2024-11-28,7.200237772
2024-11-29,7.090969678
2024-11-30,7.13236314
2024-12-01,7.180861952
2024-12-02,7.357142825
2024-12-03,7.507492354
2024-12-04,7.504871846
2024-12-05,7.462495149
2024-12-06,7.395982763
2024-12-07,7.400390237
2024-12-08,7.39170251
2024-12-09,7.483456211
2024-12-10,7.573238986
2024-12-11,7.516724955
2024-12-12,7.595902426
2024-12-13,7.692585747
2024-12-14,7.709082476
2024-12-15,7.638638602
2024-12-16,7.582388288
2024-12-17,7.620186754
2024-12-18,7.460624507
2024-12-19,7.541091992
2024-12-20,7.529684748
2024-12-21,7.635996601
2024-12-22,7.702246038
2024-12-23,7.612012637
2024-12-24,7.761661451
2024-12-25,7.865435434
2024-12-26,7.854421576
2024-12-27,7.842535567
2024-12-28,8.075205399
2024-12-29,7.846226131
2024-12-30,7.829112621
2024-12-31,7.838791376
2025-01-01,7.877824163
2025-01-02,7.786254135
2025-01-03,7.860663084
2025-01-04,7.737953286
2025-01-05,7.775915936
2025-01-06,7.839225012
2025-01-07,7.84567224
